INBOUND_DATE,PLANT_NAME,MATERIAL_NAME,NET_QUANTITY_MT,SHELF_LIFE_IN_MONTH,DOWNGRADE_VALUE_AVG_MT,POLYMER_TYPE,value,radius,Cluster,Cluster_Name
2024/01/27,SINGAPORE-WAREHOUSE,MAT-0374,24.75,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/01/27,SINGAPORE-WAREHOUSE,MAT-0374,20.625,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/01/27,SINGAPORE-WAREHOUSE,MAT-0374,4.125,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/06/17,SINGAPORE-WAREHOUSE,MAT-0374,9.625,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/06/17,SINGAPORE-WAREHOUSE,MAT-0374,15.125,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/06/17,SINGAPORE-WAREHOUSE,MAT-0374,15.125,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/06/17,SINGAPORE-WAREHOUSE,MAT-0374,9.625,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2023/12/21,SINGAPORE-WAREHOUSE,MAT-0135,24.75,3,412.5069854906607,P-001,4075.5,20.060497217434158,0,Critical Material
2023/12/21,SINGAPORE-WAREHOUSE,MAT-0135,11.0,3,412.5069854906607,P-001,4075.5,20.060497217434158,0,Critical Material
2023/12/21,SINGAPORE-WAREHOUSE,MAT-0135,13.75,3,412.5069854906607,P-001,4075.5,20.060497217434158,0,Critical Material
2023/12/21,SINGAPORE-WAREHOUSE,MAT-0135,2.75,3,412.5069854906607,P-001,4075.5,20.060497217434158,0,Critical Material
2023/12/21,SINGAPORE-WAREHOUSE,MAT-0135,22.0,3,412.5069854906607,P-001,4075.5,20.060497217434158,0,Critical Material
2023/12/21,SINGAPORE-WAREHOUSE,MAT-0135,8.25,3,412.5069854906607,P-001,4075.5,20.060497217434158,0,Critical Material
2023/12/21,SINGAPORE-WAREHOUSE,MAT-0135,16.5,3,412.5069854906607,P-001,4075.5,20.060497217434158,0,Critical Material
2023/12/15,SINGAPORE-WAREHOUSE,MAT-0274,23.375,4,231.00779220779225,P-001,0.5,20.000007422060783,0,Critical Material
2023/12/15,SINGAPORE-WAREHOUSE,MAT-0274,23.375,4,231.00779220779225,P-001,0.5,20.000007422060783,0,Critical Material
2023/12/21,SINGAPORE-WAREHOUSE,MAT-0344,24.75,4,489.6010814659543,P-001,49500.0,20.734784017418924,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,15.125,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,9.625,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/30,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/16,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/16,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/16,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/16,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/16,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/16,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/16,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/16,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,2.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,22.0,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/18,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2023/12/29,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/16,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/16,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/21,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/21,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/21,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/21,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/21,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/21,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/21,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/21,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/21,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/21,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/02/12,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/02/12,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/02/12,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/02/12,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/02/12,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/02/12,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/02/12,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/02/12,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/02/12,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/02/12,SINGAPORE-WAREHOUSE,MAT-0340,24.75,3,244.602286459308,P-001,2767589.96,61.08244180559753,0,Critical Material
2024/01/27,SINGAPORE-WAREHOUSE,MAT-0419,22.0,3,306.9209086432423,P-001,20532.350000000002,20.30478469939498,0,Critical Material
2024/01/27,SINGAPORE-WAREHOUSE,MAT-0419,2.75,3,306.9209086432423,P-001,20532.350000000002,20.30478469939498,0,Critical Material
2024/01/27,SINGAPORE-WAREHOUSE,MAT-0419,11.0,3,306.9209086432423,P-001,20532.350000000002,20.30478469939498,0,Critical Material
2024/01/27,SINGAPORE-WAREHOUSE,MAT-0419,13.75,3,306.9209086432423,P-001,20532.350000000002,20.30478469939498,0,Critical Material
2024/01/27,SINGAPORE-WAREHOUSE,MAT-0419,24.75,3,306.9209086432423,P-001,20532.350000000002,20.30478469939498,0,Critical Material
2024/01/27,SINGAPORE-WAREHOUSE,MAT-0419,24.75,3,306.9209086432423,P-001,20532.350000000002,20.30478469939498,0,Critical Material
2024/01/27,SINGAPORE-WAREHOUSE,MAT-0419,24.75,3,306.9209086432423,P-001,20532.350000000002,20.30478469939498,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0419,8.25,3,306.9209086432423,P-001,20532.350000000002,20.30478469939498,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0419,16.5,3,306.9209086432423,P-001,20532.350000000002,20.30478469939498,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0419,24.75,3,306.9209086432423,P-001,20532.350000000002,20.30478469939498,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0419,24.75,3,306.9209086432423,P-001,20532.350000000002,20.30478469939498,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0374,1.375,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0374,23.375,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0374,5.5,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0374,19.25,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0374,1.375,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0374,23.375,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0374,13.75,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0374,11.0,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0374,19.25,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0374,5.5,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0374,24.75,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0374,24.75,3,530.555699579346,P-001,144599.13,22.146447063771337,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0419,24.75,3,306.9209086432423,P-001,20532.350000000002,20.30478469939498,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0419,20.625,3,306.9209086432423,P-001,20532.350000000002,20.30478469939498,0,Critical Material
2024/03/03,SINGAPORE-WAREHOUSE,MAT-0419,4.125,3,306.9209086432423,P-001,20532.350000000002,20.30478469939498,0,Critical Material
